customer_id,source,username,region,device,app_version,timestamp,rating,sentiment,review_text,theme,severity,strategic_goal,helpful_votes
IOS-001,iOS App Store,ios_0ifd0tvb,US-NY,iPhone 13,11.2.1,2025-06-23T19:01:00,4,positive,Loving Advanced Trade—depth charts and order book are spot on.,Onboarding/KYC & Account Holds,0.28,Compliance,17
IOS-002,iOS App Store,ios_zmf8mdd4,CA,iPhone 14,11.2.0,2025-06-11T17:07:00,5,positive,Loving Advanced Trade—depth charts and order book are spot on.,Trading/Execution & Fees,0.54,Growth,23
IOS-003,iOS App Store,ios_zbikcidk,AU,iPhone 14,11.2.1,2025-05-19T11:13:00,5,positive,Alerting + TradingView charts make decisions faster for me.,Support Experience,0.59,CX Efficiency,34
IOS-004,iOS App Store,ios_qj7yhl1c,BR,iPhone 12,11.3.0,2025-05-27T08:04:00,4,positive,Advanced UI is clean; limit and stop orders work exactly as expected.,Trading/Execution & Fees,0.27,Growth,25
IOS-005,iOS App Store,ios_jiujv6oh,US-TX,iPad Pro,11.3.1,2025-03-09T01:55:00,4,positive,Great upgrade from Pro; same power inside the main app.,Trading/Execution & Fees,0.6,Growth,38
IOS-006,iOS App Store,ios_n9t84azy,EU-ES,iPhone 14,11.3.0,2025-03-14T09:27:00,4,positive,Loving Advanced Trade—depth charts and order book are spot on.,Product Availability by Region,0.1,Growth,32
IOS-007,iOS App Store,ios_65kxvf1t,JP,iPad Pro,11.2.0,2025-07-17T10:31:00,4,positive,Advanced UI is clean; limit and stop orders work exactly as expected.,Performance/Outages,0.84,Trust&Safety,15
IOS-008,iOS App Store,ios_58drc11e,EU-FR,iPad Pro,11.2.1,2025-04-22T16:55:00,5,positive,Loving Advanced Trade—depth charts and order book are spot on.,Support Experience,0.84,CX Efficiency,45
IOS-009,iOS App Store,ios_oyn6qica,EU-ES,iPhone 13,11.4.0,2025-04-11T00:04:00,4,positive,Fast fills on BTC/ETH; fees are clear on the receipt.,Trading/Execution & Fees,0.15,Growth,21
IOS-010,iOS App Store,ios_iyhe7ur2,JP,iPhone 15,11.2.1,2025-03-10T03:42:00,5,positive,Loving Advanced Trade—depth charts and order book are spot on.,Performance/Outages,0.44,Trust&Safety,46
