customer_id,source,account_name,account_type,region,contact_role,deal_stage,note_type,product_area,timestamp,sentiment,note_text,theme,severity,ARR_impact_estimate_USD,requested_feature,blocker,next_step,strategic_goal
INT-001,Internal Sales Notes,Acct-CO_9RN,Enterprise,AU,CTO,Negotiation,Support Escalation,API/Execution,2025-04-18T08:35:00,positive,Pricing acceptable with volume tiers; legal review clean.,"Security, Fraud & Phishing",0.34,20000,Post-trade Receipt,Security Approval,Wait for QBR,Trust&Safety
INT-002,Internal Sales Notes,Acct-CO_U7Z,Mid-Market,JP,PM,Evaluation,Call Summary,Funding & Withdrawals,2025-03-06T11:59:00,positive,Migration plan from Pro approved; internal champions identified.,"Security, Fraud & Phishing",0.45,20000,None,Missing Feature,Provide Security Docs,Trust&Safety
INT-003,Internal Sales Notes,Acct-CO_7ZE,Enterprise,US-FL,Head of Trading,Prospect,Support Escalation,Funding & Withdrawals,2025-06-14T03:43:00,positive,Pricing acceptable with volume tiers; legal review clean.,Wallet & On-chain UX,0.72,0,API Keys per Desk,Security Approval,Wait for QBR,Onchain Adoption
INT-004,Internal Sales Notes,Acct-CO_1KK,SMB,IN,PM,Pilot,Email,Advanced Trade Core,2025-05-26T15:11:00,positive,Migration plan from Pro approved; internal champions identified.,Support Experience,0.85,20000,OCO,Compliance Review,Pricing Review,CX Efficiency
INT-005,Internal Sales Notes,Acct-CO_7MQ,Mid-Market,US-FL,Head of Trading,Evaluation,Email,Wallet & On-chain,2025-06-11T20:16:00,positive,Pricing acceptable with volume tiers; legal review clean.,"Payments, Deposits & Withdrawals",0.67,0,None,Pricing,Pricing Review,CX Efficiency
INT-006,Internal Sales Notes,Acct-CO_VWO,Mid-Market,UK,PM,Prospect,QBR Note,Reporting/Tax,2025-04-15T14:48:00,positive,Advanced order types matched competitor; trader desk satisfied.,Trading/Execution & Fees,0.31,20000,Post-trade Receipt,None,None,Growth
INT-007,Internal Sales Notes,Acct-CO_YCE,Mid-Market,SG,Head of Trading,Closed Won,QBR Note,Funding & Withdrawals,2025-07-21T07:14:00,positive,API latency met sub-50ms target; ready for scale testing.,"Security, Fraud & Phishing",0.87,50000,Trailing Stop,Missing Feature,None,Trust&Safety
INT-008,Internal Sales Notes,Acct-CO_612,Enterprise,EU-FR,Compliance Lead,Closed Won,QBR Note,Advanced Trade Core,2025-07-08T03:03:00,positive,Migration plan from Pro approved; internal champions identified.,Performance/Outages,0.76,120000,Trailing Stop,None,None,Trust&Safety
INT-009,Internal Sales Notes,Acct-CO_4PY,SMB,EU-ES,CFO,Pilot,RFP Response,Advanced Trade Core,2025-07-07T14:43:00,positive,Advanced order types matched competitor; trader desk satisfied.,"Security, Fraud & Phishing",0.75,250000,OCO,Missing Feature,Pricing Review,Trust&Safety
INT-010,Internal Sales Notes,Acct-CO_BMC,Mid-Market,US-TX,PM,Closed Lost,Support Escalation,Funding & Withdrawals,2025-05-22T14:55:00,positive,Advanced order types matched competitor; trader desk satisfied.,"Payments, Deposits & Withdrawals",0.83,50000,SLA Dashboard,Compliance Review,None,CX Efficiency
INT-011,Internal Sales Notes,Acct-CO_GTT,Enterprise,SG,Compliance Lead,Pilot,RFP Response,Reporting/Tax,2025-04-13T07:29:00,positive,API latency met sub-50ms target; ready for scale testing.,"Payments, Deposits & Withdrawals",0.38,20000,Trailing Stop,Compliance Review,Schedule Pilot,CX Efficiency
INT-012,Internal Sales Notes,Acct-CO_ICV,Mid-Market,US-FL,Compliance Lead,Discovery,Call Summary,API/Execution,2025-06-22T09:14:00,positive,Pricing acceptable with volume tiers; legal review clean.,Onboarding/KYC & Account Holds,0.75,250000,API Keys per Desk,Pricing,None,Compliance
INT-013,Internal Sales Notes,Acct-CO_KFX,SMB,AU,CFO,Negotiation,Support Escalation,Advanced Trade Core,2025-05-13T20:42:00,positive,API latency met sub-50ms target; ready for scale testing.,Support Experience,0.4,120000,Post-trade Receipt,Missing Feature,Wait for QBR,CX Efficiency
INT-014,Internal Sales Notes,Acct-CO_GTI,Mid-Market,EU-DE,Compliance Lead,Negotiation,Email,Reporting/Tax,2025-04-17T08:13:00,positive,API latency met sub-50ms target; ready for scale testing.,Product Availability by Region,0.36,0,SLA Dashboard,Pricing,Schedule Pilot,Growth
INT-015,Internal Sales Notes,Acct-CO_JYV,Mid-Market,US-FL,CTO,Evaluation,Call Summary,API/Execution,2025-04-03T23:07:00,positive,Advanced order types matched competitor; trader desk satisfied.,Onboarding/KYC & Account Holds,0.7,50000,Trailing Stop,None,Provide Security Docs,Compliance
