customer_id,source,handle,followers,verified,timestamp,sentiment,tweet_text,theme,severity,likes,retweets,reply_count,strategic_goal
TW-001,Twitter (X),@trader_o6q0uswo,148860,True,2025-06-05T21:08:00,positive,Finally set bracket orders directly—smooth UX.,Performance/Outages,0.29,133,80,25,Trust&Safety
TW-002,Twitter (X),@trader_jch2vffq,106574,True,2025-07-01T11:49:00,positive,Charts + order book visibility are clutch for scalps.,Tax Docs & Reporting,0.27,157,118,16,Compliance
TW-003,Twitter (X),@trader_3kzvh4fz,93265,False,2025-06-25T01:43:00,positive,Coinbase Advanced fills were instant during the spike. Nice.,Trading/Execution & Fees,0.34,419,44,1,Growth
TW-004,Twitter (X),@trader_0iq2fa39,34276,True,2025-05-27T11:43:00,positive,Fee breakdowns on receipts make sense now.,Performance/Outages,0.6,330,21,37,Trust&Safety
TW-005,Twitter (X),@trader_ac6pe63l,11202,False,2025-02-26T05:59:00,positive,Charts + order book visibility are clutch for scalps.,"Payments, Deposits & Withdrawals",0.56,420,185,25,CX Efficiency
TW-006,Twitter (X),@trader_yghgk5bw,64441,False,2025-04-30T15:26:00,positive,Coinbase Advanced fills were instant during the spike. Nice.,Product Availability by Region,0.81,245,15,5,Growth
TW-007,Twitter (X),@trader_px2i9tan,94149,False,2025-07-03T15:22:00,positive,Fee breakdowns on receipts make sense now.,Trading/Execution & Fees,0.83,257,82,24,Growth
TW-008,Twitter (X),@trader_lh62c9t1,61027,True,2025-03-11T07:42:00,positive,Finally set bracket orders directly—smooth UX.,Onboarding/KYC & Account Holds,0.29,273,188,3,Compliance
TW-009,Twitter (X),@trader_m44gv3z6,7404,False,2025-08-12T11:36:00,positive,Love the new pairs—liquidity looks solid.,Product Availability by Region,0.55,288,48,31,Growth
TW-010,Twitter (X),@trader_rdihsa7h,34217,False,2025-03-31T10:03:00,positive,Charts + order book visibility are clutch for scalps.,Trading/Execution & Fees,0.12,300,180,9,Growth
TW-011,Twitter (X),@trader_8n7odkef,114532,False,2025-06-18T20:20:00,positive,Love the new pairs—liquidity looks solid.,"Security, Fraud & Phishing",0.24,495,143,44,Trust&Safety
TW-012,Twitter (X),@trader_x3n0kgaz,102665,False,2025-02-22T05:38:00,positive,Charts + order book visibility are clutch for scalps.,Support Experience,0.35,414,156,14,CX Efficiency
TW-013,Twitter (X),@trader_f0i9g5dz,88024,False,2025-02-16T08:13:00,positive,Coinbase Advanced fills were instant during the spike. Nice.,Tax Docs & Reporting,0.3,34,89,16,Compliance
TW-014,Twitter (X),@trader_n085rntd,125705,False,2025-07-30T21:14:00,positive,Coinbase Advanced fills were instant during the spike. Nice.,Onboarding/KYC & Account Holds,0.23,37,8,18,Compliance
TW-015,Twitter (X),@trader_8cgn0t6d,126556,False,2025-02-21T13:41:00,positive,Charts + order book visibility are clutch for scalps.,Wallet & On-chain UX,0.23,455,111,10,Onchain Adoption
TW-016,Twitter (X),@trader_hgzz0jki,13021,False,2025-07-10T17:53:00,positive,Coinbase Advanced fills were instant during the spike. Nice.,"Security, Fraud & Phishing",0.49,27,92,0,Trust&Safety
TW-017,Twitter (X),@trader_3wrdhw9r,30289,False,2025-05-26T15:31:00,positive,Coinbase Advanced fills were instant during the spike. Nice.,Wallet & On-chain UX,0.82,135,23,41,Onchain Adoption
TW-018,Twitter (X),@trader_g5nqjqij,16168,True,2025-08-11T21:06:00,negative,Support replies feel canned—need a human on escalations.,Support Experience,0.17,176,138,26,CX Efficiency
TW-019,Twitter (X),@trader_cns8y7ui,78352,True,2025-05-26T22:02:00,negative,App stalled right when volatility hit. Brutal.,Performance/Outages,0.5,461,132,36,Trust&Safety
TW-020,Twitter (X),@trader_8q8ghgbc,114145,True,2025-07-24T04:53:00,negative,App stalled right when volatility hit. Brutal.,"Payments, Deposits & Withdrawals",0.58,163,186,4,CX Efficiency
TW-021,Twitter (X),@trader_ut4s7azv,110004,True,2025-05-31T04:09:00,negative,Support replies feel canned—need a human on escalations.,Support Experience,0.55,298,194,6,CX Efficiency
TW-022,Twitter (X),@trader_22555jxu,124016,True,2025-03-30T08:25:00,negative,Gas estimate shocked me on first onchain transfer.,Wallet & On-chain UX,0.22,311,174,44,Onchain Adoption
TW-023,Twitter (X),@trader_o5ybrjnm,79454,False,2025-04-26T15:54:00,negative,Execution looked worse than my benchmark—need clarity on spread.,Trading/Execution & Fees,0.66,50,58,8,Growth
